Seine-Maritime;Le Havre;Mont Gaillard, La Forêt (Bois de Bléville), Mare Rouge
Seine-Maritime;Le Petit-Quevilly;Saint Julien, Quartier des Bruyères
Seine-Maritime;Le Petit-Quevilly;ZAC Nobel Bozel
Seine-Maritime;Rouen;Le Plateau : Les Sapins, Châtelet, La Lombardie, La Grand'Mare
Seine-Maritime;Rouen;La Sablière
Seine-Maritime;Saint-Etienne-du-Rouvray;Cité du Château Blanc
Seine-Maritime;Saint-Etienne-du-Rouvray;Cité Hartmann, La Houssière
Seine-Maritime;Sotteville-lès-Rouen;Quartier Fernand Buisson
Seine-Maritime;Sotteville-lès-Rouen;Quartier Gadeau de Kerville
Seine-Maritime;Elbeuf;Le Puchot, Mesliers, Mont Duve
Seine-et-Marne;Emerainville;Le Clos Emery
Seine-et-Marne;Nemours;ZUP du Mont Saint Martin
Seine-et-Marne;Chelles;La Grande Prairie
Seine-et-Marne;Provins;Champbenoist
Seine-et-Marne;Meaux;Beauval, La Pierre Collinet
Seine-et-Marne;Dammarie-les-Lys;La Plaine du Lys, L'Abbaye du Lys
Seine-et-Marne;Le Mée-sur-Seine;ZAC des Courtilleraies
